기간	자치구	합계	가정용	공공용	서비스업	서비스업	서비스업	서비스업	서비스업	산업용	산업용	산업용	산업용
기간	자치구	합계	가정용	공공용	소계	전철	수도	사업자용	순수서비스	소계	농림어업	광업	제조업
2014	합계	45,018,853	12,892,129	3,577,029	26,463,087	1,265,441	577,589	98,625	24,521,433	2,086,608	13,361	2,703	2,070,544
2014	종로구	1,707,267	249,684	237,202	1,153,423	-	2,636	2,226	1,148,562	66,957	38	404	66,515
2014	중구	2,519,655	182,386	114,900	1,994,107	-	261	9,341	1,984,506	228,262	0	210	228,051
2014	용산구	1,343,303	386,590	333,837	598,464	5,115	6,266	478	586,606	24,413	5	0	24,408
2014	성동구	1,860,251	377,774	443,728	689,616	5,399	45,428	3,213	635,576	349,133	1	535	348,597
2014	광진구	1,599,240	449,794	99,105	1,012,326	314,402	33,736	3,150	661,038	38,014	232	50	37,732
2014	동대문구	1,413,078	474,107	118,355	741,774	59,458	8,154	1,374	672,788	78,842	93	57	78,692
2014	중랑구	1,077,939	492,919	35,239	490,327	1,575	5,546	1,614	481,592	59,453	322	16	59,115
2014	성북구	1,440,362	591,987	200,300	598,796	-	18,374	1,339	579,084	49,279	210	78	48,991
2014	강북구	894,534	387,820	41,779	427,262	-	7,620	857	418,786	37,673	96	-	37,577
2014	도봉구	889,824	419,122	47,005	364,262	-	6,593	626	357,044	59,436	212	0	59,224
2014	노원구	1,495,925	678,566	152,956	628,456	-	14,618	3,534	610,304	35,947	119	-	35,828
2014	은평구	1,294,205	582,917	69,170	625,132	118,705	8,591	2,075	495,762	16,985	105	17	16,864
2014	서대문구	1,191,860	392,737	276,876	503,430	-	11,821	241	491,368	18,817	47	-	18,770
2014	마포구	1,916,532	534,679	123,608	1,224,870	12,144	10,454	10,958	1,191,315	33,375	158	6	33,210
2014	양천구	1,506,497	615,603	57,873	808,815	-	9,016	2,088	797,711	24,206	138	31	24,037
2014	강서구	1,971,862	706,731	205,745	988,355	30,516	5,275	1,837	950,727	71,031	2,960	1,017	67,053
2014	구로구	1,858,208	548,628	50,356	1,132,860	245,124	8,939	795	878,002	126,364	280	219	125,865
2014	금천구	1,584,770	272,340	25,941	960,999	-	3,649	1,363	955,987	325,490	386	12	325,092
2014	영등포구	2,583,494	544,451	176,361	1,731,983	16,563	87,732	6,906	1,620,783	130,698	57	35	130,606
2014	동작구	1,250,974	490,762	115,616	628,867	12,202	25,936	1,305	589,425	15,729	47	-	15,682
2014	관악구	1,638,599	622,856	217,598	763,363	-	10,847	1,199	751,317	34,782	71	-	34,711
2014	서초구	3,441,528	653,805	196,536	2,414,879	372,293	28,978	10,346	2,003,262	176,308	3,137	-	173,171
2014	강남구	4,538,646	850,906	89,799	3,580,978	24,928	11,888	26,786	3,517,376	16,963	1,117	-	15,846
2014	송파구	2,515,315	837,948	88,961	1,552,622	47,017	74,442	3,066	1,428,097	35,784	944	-	34,840
2014	강동구	1,484,984	547,015	58,182	847,119	-	130,793	1,908	714,419	32,667	2,584	15	30,068
