기간	자치구	합계	가정용	공공용	서비스업	서비스업	서비스업	서비스업	서비스업	산업용	산업용	산업용	산업용
기간	자치구	합계	가정용	공공용	소계	전철	수도	사업자용	순수서비스	소계	농림어업	광업	제조업
2018	합계	47,810,210	13,766,796	3,718,778	28,578,925	1,536,887	681,602	105,200	26,255,237	1,745,711	15,917	2,609	1,727,185
2018	종로구	1,779,509	260,182	199,946	1,245,964	-	2,672	3,422	1,239,870	73,416	104	637	72,676
2018	중구	2,516,717	202,013	113,027	1,973,540	-	303	11,343	1,961,894	228,136	32	195	227,909
2018	용산구	1,448,285	407,144	320,807	699,487	6,645	6,087	686	686,069	20,847	17	-	20,830
2018	성동구	2,203,585	446,068	327,444	1,158,599	201,326	59,361	3,829	894,082	271,475	377	265	270,832
2018	광진구	1,684,592	477,898	103,600	1,067,921	322,843	63,048	3,473	678,558	35,173	217	70	34,886
2018	동대문구	1,469,529	507,766	135,796	745,467	62,852	8,852	2,099	671,664	80,500	293	73	80,134
2018	중랑구	1,135,735	524,171	40,982	508,617	2,010	5,849	2,160	498,598	61,966	466	39	61,460
2018	성북구	1,473,874	597,961	222,824	602,629	-	17,277	1,405	583,946	50,460	267	13	50,181
2018	강북구	944,660	409,281	56,817	440,966	-	7,614	948	432,403	37,597	169	6	37,422
2018	도봉구	912,362	437,202	53,975	369,701	-	6,235	1,313	362,153	51,484	426	-	51,057
2018	노원구	1,538,956	691,821	167,789	642,607	-	14,477	4,459	623,671	36,739	372	-	36,368
2018	은평구	1,424,502	628,553	80,435	699,920	136,774	9,374	2,237	551,535	15,594	195	25	15,375
2018	서대문구	1,268,429	431,996	301,410	517,577	-	11,928	277	505,372	17,446	82	6	17,358
2018	마포구	2,147,213	572,804	145,342	1,402,754	14,186	9,460	18,041	1,361,068	26,314	218	5	26,090
2018	양천구	1,698,490	638,589	65,713	972,213	-	7,867	2,692	961,654	21,975	229	146	21,600
2018	강서구	2,517,803	818,842	240,508	1,398,863	31,116	5,423	3,005	1,359,319	59,591	3,408	491	55,691
2018	구로구	1,903,682	579,206	61,254	1,150,240	249,017	9,268	2,637	889,318	112,983	247	455	112,280
2018	금천구	1,639,417	307,264	27,100	1,029,667	-	3,896	1,581	1,024,190	275,385	206	15	275,164
2018	영등포구	2,690,642	587,925	163,003	1,818,640	19,408	91,107	7,968	1,700,157	121,073	297	60	120,717
2018	동작구	1,303,621	515,450	130,203	642,019	4,972	25,076	1,279	610,693	15,948	107	-	15,842
2018	관악구	1,744,043	664,234	255,970	797,362	-	10,323	1,653	785,387	26,476	232	-	26,244
2018	서초구	3,340,952	701,035	205,036	2,421,233	391,514	29,363	12,569	1,987,787	13,647	3,724	93	9,830
2018	강남구	4,668,552	894,148	127,935	3,627,463	40,107	64,517	9,525	3,513,315	19,006	1,196	-	17,810
2018	송파구	2,820,372	918,173	102,809	1,756,594	54,062	74,247	4,206	1,624,080	42,796	1,384	4	41,408
2018	강동구	1,534,686	547,070	69,052	888,880	55	137,979	2,393	748,453	29,684	1,650	13	28,021
