기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2014	합계	계	5,815	5,131	227	457	963	161	36,527.95	20,052,979	6,674,887	13,378,092	971,050,895	301	36	265	369	435
2014	합계	1월	481	434	14	33	75	8	2,058.6	1,144,038	481,740	662,298	76,466,154	24	3	21	14	48
2014	합계	2월	446	383	26	37	76	30	3,795.37	1,420,875	547,830	873,045	25,912,314	19	4	15	39	27
2014	합계	3월	579	506	30	43	102	8	6,505.71	3,706,325	678,734	3,027,591	42,087,123	19	2	17	19	11
2014	합계	4월	548	482	15	51	101	11	6,594.65	1,558,724	569,099	989,625	377,870,117	23	3	20	33	16
2014	합계	5월	601	541	16	44	85	6	1,564.6	1,237,970	389,512	848,458	101,304,605	25	2	23	13	7
2014	합계	6월	420	381	12	27	90	3	1,369.95	905,581	301,901	603,680	43,244,362	15	4	11	5	32
2014	합계	7월	503	441	22	40	90	1	1,882.5	1,178,671	467,810	710,861	45,887,387	27	4	23	5	21
2014	합계	8월	415	371	18	26	66	10	1,101	903,885	361,342	542,543	24,297,437	26	3	23	28	31
2014	합계	9월	423	384	15	24	58	1	823.1	882,735	386,535	496,200	19,309,409	12	-	12	4	9
2014	합계	10월	442	387	22	33	66	1	2,308.76	2,105,288	757,432	1,347,856	78,699,206	56	6	50	3	73
2014	합계	11월	429	355	26	48	55	62	4,146.71	1,579,968	582,175	997,793	57,542,840	24	4	20	139	64
2014	합계	12월	528	466	11	51	99	20	4,377	3,428,919	1,150,777	2,278,142	78,429,941	31	1	30	67	96
2014	종로구	계	239	210	10	19	35	1	1,696.55	1,395,325	354,650	1,040,675	8,414,153	1	-	1	2	17
2014	종로구	1월	21	16	3	2	-	-	50	27,103	6,546	20,557	851,671	-	-	-	-	-
2014	종로구	2월	17	15	2	-	-	-	151	2,124	347	1,777	664,927	-	-	-	-	-
2014	종로구	3월	25	23	-	2	5	-	554.6	512,865	111,337	401,528	882,375	-	-	-	-	-
2014	종로구	4월	19	16	-	3	-	-	242	46,084	6,735	39,349	2,138,808	-	-	-	-	6
2014	종로구	5월	29	28	1	-	4	-	20	20,270	1,381	18,889	1,009,034	-	-	-	-	-
2014	종로구	6월	12	10	1	1	2	-	9	3,155	1,202	1,953	39,006	-	-	-	-	-
2014	종로구	7월	15	14	-	1	2	-	22	13,468	7,525	5,943	36,095	-	-	-	-	-
2014	종로구	8월	19	16	-	3	7	1	146	69,183	30,096	39,087	2,541,158	1	-	1	2	5
2014	종로구	9월	15	14	-	1	4	-	23	22,348	14,143	8,205	769	-	-	-	-	-
2014	종로구	10월	23	20	1	2	2	-	401.57	585,189	156,080	429,109	68,328	-	-	-	-	6
2014	종로구	11월	20	16	2	2	1	-	14	66,358	2,246	64,112	63,934	-	-	-	-	-
2014	종로구	12월	24	22	-	2	8	-	63.38	27,178	17,012	10,166	118,048	-	-	-	-	-
2014	중구	계	233	198	9	26	33	25	2,462.37	1,112,281	406,673	705,608	1,355,613	18	2	16	32	33
2014	중구	1월	19	18	1	-	7	-	278	199,227	70,222	129,005	226,291	2	-	2	-	9
2014	중구	2월	21	17	-	4	6	25	1,019.97	319,666	123,207	196,459	4,651	3	2	1	32	7
2014	중구	3월	29	25	-	4	4	-	422	185,075	46,375	138,700	870,416	-	-	-	-	-
2014	중구	4월	21	17	3	1	4	-	173	93,391	39,914	53,477	-	-	-	-	-	-
2014	중구	5월	21	16	-	5	7	-	151	43,268	22,935	20,333	-	-	-	-	-	-
2014	중구	6월	13	11	1	1	-	-	6	3,941	1,382	2,559	-	2	-	2	-	-
2014	중구	7월	27	24	1	2	2	-	43.4	44,466	11,833	32,633	254,255	8	-	8	-	-
2014	중구	8월	14	11	2	1	1	-	69	62,539	13,232	49,307	-	1	-	1	-	-
2014	중구	9월	12	10	-	2	-	-	2	1,912	353	1,559	-	-	-	-	-	-
2014	중구	10월	21	20	1	-	2	-	290	150,766	75,242	75,524	-	2	-	2	-	17
2014	중구	11월	11	8	-	3	-	-	2	1,799	419	1,380	-	-	-	-	-	-
2014	중구	12월	24	21	-	3	-	-	6	6,231	1,559	4,672	-	-	-	-	-	-
2014	용산구	계	208	184	2	22	18	-	182.7	330,128	50,238	279,890	174,959,108	2	-	2	-	5
2014	용산구	1월	12	10	-	2	1	-	16	16,650	1,751	14,899	21,500	-	-	-	-	-
2014	용산구	2월	17	15	-	2	4	-	10	26,099	2,151	23,948	364,526	-	-	-	-	-
2014	용산구	3월	16	16	-	-	1	-	26	11,147	6,231	4,916	3,113,122	1	-	1	-	3
2014	용산구	4월	26	25	-	1	4	-	24.6	9,359	3,388	5,971	157,561,832	-	-	-	-	-
2014	용산구	5월	24	22	-	2	-	-	0.5	10,707	47	10,660	128,610	-	-	-	-	1
2014	용산구	6월	7	7	-	-	-	-	2	611	419	192	-	-	-	-	-	-
2014	용산구	7월	28	22	1	5	3	-	21.3	70,730	12,391	58,339	13,571,763	-	-	-	-	-
2014	용산구	8월	8	6	-	2	-	-	-	106,959	-	106,959	110	-	-	-	-	-
2014	용산구	9월	15	13	-	2	1	-	20	14,697	7,425	7,272	506	-	-	-	-	1
2014	용산구	10월	13	12	-	1	-	-	-	1,893	592	1,301	117,942	-	-	-	-	-
2014	용산구	11월	21	18	1	2	-	-	14.3	9,151	5,168	3,983	24,576	-	-	-	-	-
2014	용산구	12월	21	18	-	3	4	-	48	52,125	10,675	41,450	54,621	1	-	1	-	-
2014	성동구	계	204	185	6	13	19	1	952	2,570,746	269,619	2,301,127	11,903,985	5	-	5	5	3
2014	성동구	1월	18	17	1	-	-	-	13	47,097	9,954	37,143	625,365	-	-	-	-	-
2014	성동구	2월	22	18	1	3	-	-	62	80,586	20,265	60,321	1,400,141	-	-	-	-	-
2014	성동구	3월	14	12	-	2	5	-	380	1,879,448	133,564	1,745,884	2,159,665	1	-	1	-	-
2014	성동구	4월	12	10	1	1	2	1	30	32,755	15,981	16,774	1,375,886	2	-	2	5	1
2014	성동구	5월	20	20	-	-	3	-	15	28,413	3,205	25,208	499,378	-	-	-	-	1
2014	성동구	6월	14	13	-	1	3	-	83	169,540	12,506	157,034	282,592	1	-	1	-	-
2014	성동구	7월	17	17	-	-	1	-	14	11,223	5,664	5,559	102,711	-	-	-	-	-
2014	성동구	8월	17	16	1	-	1	-	10	64,316	11,355	52,961	1,185,880	-	-	-	-	-
2014	성동구	9월	18	16	2	-	1	-	8	10,030	3,073	6,957	827,239	-	-	-	-	1
2014	성동구	10월	22	21	-	1	-	-	82	91,411	19,318	72,093	175,252	-	-	-	-	-
2014	성동구	11월	12	9	-	3	1	-	81	23,948	4,160	19,788	570,124	-	-	-	-	-
2014	성동구	12월	18	16	-	2	2	-	174	131,979	30,574	101,405	2,699,752	1	-	1	-	-
2014	광진구	계	244	221	10	13	31	3	605	446,703	240,679	206,024	39,690,138	12	1	11	8	17
2014	광진구	1월	16	15	1	-	1	-	121	73,195	59,316	13,879	6,974,749	-	-	-	-	3
2014	광진구	2월	20	19	1	-	2	-	7	17,499	4,169	13,330	7,073,135	-	-	-	-	1
2014	광진구	3월	25	24	-	1	4	2	68	58,084	36,609	21,475	1,268,840	1	-	1	6	-
2014	광진구	4월	25	21	1	3	-	-	137	62,354	22,961	39,393	1,481,417	1	-	1	-	1
2014	광진구	5월	26	26	-	-	6	-	59	37,494	16,120	21,374	586,089	1	-	1	-	-
2014	광진구	6월	26	23	-	3	9	1	46	41,673	21,259	20,414	1,755,295	2	-	2	2	5
2014	광진구	7월	23	21	2	-	3	-	10	15,777	4,873	10,904	1,240,155	-	-	-	-	-
2014	광진구	8월	14	11	2	1	1	-	51	24,189	13,498	10,691	286,293	6	-	6	-	6
2014	광진구	9월	22	20	2	-	-	-	8	7,689	2,716	4,973	500,684	-	-	-	-	1
2014	광진구	10월	16	15	1	-	3	-	74	52,979	31,501	21,478	15,561,656	-	-	-	-	-
2014	광진구	11월	11	10	-	1	1	-	-	13,130	2,861	10,269	571,010	-	-	-	-	-
2014	광진구	12월	20	16	-	4	1	-	24	42,640	24,796	17,844	2,390,815	1	1	-	-	-
2014	동대문구	계	221	187	15	19	24	4	871	674,748	144,211	530,537	12,386,951	21	3	18	4	15
2014	동대문구	1월	18	17	-	1	1	-	5	14,120	1,655	12,465	110,379	-	-	-	-	-
2014	동대문구	2월	21	19	1	1	2	1	492	40,745	16,980	23,765	229,548	1	-	1	1	-
2014	동대문구	3월	19	15	2	2	3	1	60	116,604	19,477	97,127	526,320	4	1	3	1	1
2014	동대문구	4월	16	14	-	2	2	-	53	83,587	8,389	75,198	222,223	4	-	4	-	-
2014	동대문구	5월	16	11	2	3	1	1	18	224,766	24,127	200,639	6,609,975	2	-	2	1	-
2014	동대문구	6월	23	20	-	3	2	1	37	27,713	5,222	22,491	328,313	-	-	-	1	2
2014	동대문구	7월	17	15	1	1	2	-	6	12,800	4,199	8,601	431,036	2	1	1	-	1
2014	동대문구	8월	12	12	-	-	2	-	5	9,195	2,292	6,903	137,279	-	-	-	-	-
2014	동대문구	9월	15	13	1	1	-	-	8	10,512	3,369	7,143	26,468	-	-	-	-	-
2014	동대문구	10월	25	20	5	-	3	-	30	15,898	6,470	9,428	2,002,217	1	-	1	-	-
2014	동대문구	11월	19	13	2	4	4	-	123	67,572	36,597	30,975	1,282,770	2	1	1	-	-
2014	동대문구	12월	20	18	1	1	2	-	34	51,236	15,434	35,802	480,423	5	-	5	-	11
2014	중랑구	계	193	167	8	18	77	7	1,161.4	441,800	165,981	275,819	21,539,509	12	1	11	21	8
2014	중랑구	1월	19	16	-	3	9	-	106	40,081	19,888	20,193	12,733,269	6	-	6	-	4
2014	중랑구	2월	14	13	-	1	8	-	28	17,322	6,348	10,974	577,952	-	-	-	-	-
2014	중랑구	3월	19	17	-	2	6	-	64.4	25,037	15,284	9,753	2,744,405	-	-	-	-	3
2014	중랑구	4월	19	17	1	1	8	-	173	20,432	6,124	14,308	327,322	1	-	1	-	-
2014	중랑구	5월	22	18	1	3	5	1	117	52,753	25,606	27,147	405,631	1	-	1	3	1
2014	중랑구	6월	14	14	-	-	5	-	2	22,056	5,599	16,457	679,041	-	-	-	-	-
