기간	자치구	합계	가정용	공공용	서비스업	서비스업	서비스업	서비스업	서비스업	산업용	산업용	산업용	산업용
기간	자치구	합계	가정용	공공용	소계	전철	수도	사업자용	순수서비스	소계	농림어업	광업	제조업
2013	합계	46,555,191	13,319,854	3,678,003	27,462,698	1,378,783	575,250	98,972	25,409,693	2,094,636	13,899	2,711	2,078,026
2013	종로구	1,734,156	264,011	234,007	1,168,484	-	2,737	2,562	1,163,185	67,654	24	389	67,241
2013	중구	2,630,165	191,832	121,934	2,077,526	-	239	8,703	2,068,584	238,873	57	133	238,683
2013	용산구	1,391,454	402,968	343,732	619,452	4,811	6,499	416	607,726	25,302	6	-	25,296
2013	성동구	1,893,708	387,966	441,243	700,524	5,678	46,390	3,162	645,294	363,975	2	598	363,375
2013	광진구	1,665,334	470,344	107,252	1,046,808	317,605	34,345	3,428	691,430	40,930	225	62	40,643
2013	동대문구	1,474,187	488,895	126,299	777,098	61,263	8,057	1,052	706,726	81,895	37	62	81,796
2013	중랑구	1,112,893	504,948	37,395	508,612	1,452	5,597	1,539	500,024	61,938	224	-	61,714
2013	성북구	1,503,941	619,544	205,589	629,334	-	18,753	1,360	609,221	49,474	211	89	49,174
2013	강북구	934,713	404,110	44,452	447,888	-	7,362	829	439,697	38,263	75	-	38,188
2013	도봉구	1,044,008	437,449	49,404	496,797	114,067	6,896	586	375,248	60,358	152	7	60,199
2013	노원구	1,565,876	708,915	161,010	657,989	-	15,108	3,663	639,218	37,962	89	-	37,873
2013	은평구	1,340,655	601,534	75,584	646,092	116,716	8,690	2,128	518,558	17,445	74	18	17,353
2013	서대문구	1,224,689	407,002	274,768	523,140	-	11,728	268	511,144	19,779	17	-	19,762
2013	마포구	1,941,318	547,914	104,213	1,253,858	10,686	10,711	12,270	1,220,191	35,333	146	-	35,187
2013	양천구	1,567,612	638,181	63,066	840,679	-	9,141	1,695	829,843	25,686	163	62	25,461
2013	강서구	2,027,907	713,678	213,826	1,028,085	32,310	5,432	1,739	988,604	72,318	2,874	980	68,464
2013	구로구	1,934,866	560,160	52,604	1,187,889	267,662	8,895	814	910,518	134,213	313	238	133,662
2013	금천구	1,627,420	281,679	27,692	984,447	-	3,833	1,407	979,207	333,602	446	15	333,141
2013	영등포구	2,684,829	563,396	185,236	1,793,499	17,873	90,562	6,634	1,678,430	142,698	71	39	142,588
2013	동작구	1,285,386	504,144	120,556	643,970	12,084	25,709	1,283	604,894	16,716	38	-	16,678
2013	관악구	1,698,733	644,757	226,502	789,817	-	11,061	1,210	777,546	37,657	61	-	37,596
2013	서초구	3,429,028	670,185	210,219	2,447,523	343,676	29,505	10,377	2,063,965	101,101	3,590	-	97,511
2013	강남구	4,735,139	871,205	94,001	3,751,893	26,433	11,758	26,560	3,687,142	18,040	1,295	-	16,745
2013	송파구	2,576,985	865,918	95,433	1,576,139	46,467	74,567	3,402	1,451,703	39,495	1,112	2	38,381
2013	강동구	1,530,189	569,119	61,986	865,155	-	121,675	1,885	741,595	33,929	2,597	17	31,315
