기간	자치구	합계	가정용	공공용	서비스업	서비스업	서비스업	서비스업	서비스업	산업용	산업용	산업용	산업용
기간	자치구	합계	가정용	공공용	소계	전철	수도	사업자용	순수서비스	소계	농림어업	광업	제조업
2016	합계	46,493,234	13,311,577	3,665,454	27,585,977	1,483,983	638,387	90,907	25,372,700	1,930,226	14,684	3,594	1,911,949
2016	종로구	1,772,001	251,046	247,069	1,202,342	-	2,748	2,427	1,197,168	71,543	91	533	70,919
2016	중구	2,549,835	190,785	111,667	2,015,503	-	325	9,866	2,005,312	231,879	38	205	231,636
2016	용산구	1,392,125	396,112	339,344	632,700	6,357	6,202	963	619,178	23,969	16	76	23,877
2016	성동구	1,909,363	403,480	391,448	730,146	5,188	36,872	3,671	684,415	384,289	34	431	383,824
2016	광진구	1,641,325	459,962	100,516	1,043,099	318,418	44,415	2,590	677,675	37,748	248	76	37,424
2016	동대문구	1,445,632	488,054	122,592	755,206	58,831	8,989	2,024	685,362	79,780	254	91	79,435
2016	중랑구	1,110,241	508,632	36,771	503,079	1,601	5,643	1,885	493,949	61,759	442	49	61,268
2016	성북구	1,457,941	592,598	213,927	600,734	-	18,642	1,093	580,999	50,682	302	12	50,368
2016	강북구	917,979	396,797	44,269	437,921	91	7,623	845	429,362	38,992	123	-	38,869
2016	도봉구	905,644	423,683	49,900	372,358	-	6,555	1,267	364,536	59,703	365	-	59,339
2016	노원구	1,520,538	685,534	158,305	639,493	-	14,939	4,083	620,471	37,206	144	-	37,063
2016	은평구	1,336,497	600,981	71,729	647,739	122,570	9,018	2,192	513,960	16,048	146	31	15,871
2016	서대문구	1,242,541	418,483	292,133	514,163	-	12,161	281	501,721	17,762	69	7	17,686
2016	마포구	2,062,721	559,288	141,412	1,331,139	13,965	9,922	9,575	1,297,677	30,882	146	6	30,731
2016	양천구	1,578,143	630,303	61,393	862,823	-	9,055	2,452	851,316	23,623	179	163	23,281
2016	강서구	2,094,664	766,932	212,256	1,051,929	30,988	5,224	2,036	1,013,681	63,547	3,320	1,153	59,073
2016	구로구	1,907,899	567,267	54,344	1,166,931	251,243	9,321	2,926	903,441	119,356	226	599	118,532
2016	금천구	1,623,125	284,774	24,280	1,007,840	-	3,661	1,463	1,002,716	306,232	200	14	306,018
2016	영등포구	2,640,335	565,816	161,531	1,784,959	19,443	86,336	7,525	1,671,654	128,030	120	55	127,855
2016	동작구	1,275,070	500,278	124,866	633,176	6,075	26,618	1,294	599,190	16,749	86	-	16,664
2016	관악구	1,689,675	643,198	239,263	776,799	-	11,091	1,175	764,533	30,415	127	-	30,288
2016	서초구	3,542,874	679,909	200,104	2,649,993	558,312	28,827	12,078	2,050,775	12,869	3,042	81	9,746
2016	강남구	4,698,163	891,640	119,666	3,668,916	38,397	60,075	11,862	3,558,582	17,942	1,118	-	16,824
2016	송파구	2,665,893	862,641	86,023	1,680,302	52,495	73,231	3,342	1,551,234	36,927	1,192	-	35,735
2016	강동구	1,513,011	543,384	60,646	876,687	9	140,891	1,993	733,794	32,295	2,658	13	29,624
