기간	자치구	합계	가정용	공공용	서비스업	서비스업	서비스업	서비스업	서비스업	산업용	산업용	산업용	산업용
기간	자치구	합계	가정용	공공용	소계	전철	수도	사업자용	순수서비스	소계	농림어업	광업	제조업
2017	합계	46,298,158	13,131,172	3,581,534	27,647,345	1,497,676	656,555	93,169	25,399,945	1,938,108	15,150	4,064	1,918,893
2017	종로구	1,753,575	250,888	195,454	1,234,839	-	2,584	3,147	1,229,108	72,395	105	611	71,679
2017	중구	2,503,707	188,818	111,809	1,976,573	-	312	10,228	1,966,032	226,508	30	197	226,281
2017	용산구	1,389,969	388,850	330,599	647,404	6,519	6,170	483	634,231	23,117	24	30	23,062
2017	성동구	2,034,589	414,136	301,407	879,368	119,118	52,218	3,671	704,361	439,679	55	319	439,305
2017	광진구	1,638,532	452,493	100,824	1,048,653	322,117	53,113	3,212	670,210	36,561	228	71	36,262
2017	동대문구	1,424,697	479,096	127,492	739,444	60,376	8,876	2,145	668,048	78,664	260	82	78,322
2017	중랑구	1,101,396	501,147	38,418	500,256	1,736	5,719	1,968	490,833	61,574	397	51	61,125
2017	성북구	1,440,110	579,150	216,370	594,326	-	17,833	1,140	575,353	50,264	265	27	49,971
2017	강북구	914,684	392,162	51,287	433,368	-	7,640	825	424,904	37,867	142	5	37,721
2017	도봉구	890,602	416,983	51,018	367,825	-	6,329	1,204	360,292	54,776	442	-	54,334
2017	노원구	1,504,212	669,594	163,854	634,218	-	14,676	4,110	615,432	36,546	341	8	36,196
2017	은평구	1,362,245	594,223	75,597	676,692	126,707	9,032	2,114	538,839	15,733	175	37	15,521
2017	서대문구	1,237,081	412,572	297,647	508,999	-	11,830	277	496,892	17,863	84	7	17,772
2017	마포구	2,059,666	547,838	143,558	1,339,860	13,907	9,669	12,868	1,303,416	28,411	160	5	28,245
2017	양천구	1,597,963	613,886	63,089	898,477	-	8,289	2,600	887,588	22,512	239	137	22,135
2017	강서구	2,205,573	779,635	224,767	1,140,131	30,293	5,418	2,548	1,101,871	61,040	3,338	1,044	56,658
2017	구로구	1,874,103	556,564	56,599	1,145,163	250,660	9,218	2,662	882,622	115,777	243	581	114,954
2017	금천구	1,617,044	287,356	25,402	1,015,473	-	3,892	1,457	1,010,124	288,813	188	14	288,611
2017	영등포구	2,610,039	554,765	158,873	1,772,074	18,858	88,099	7,668	1,657,449	124,327	162	60	124,105
2017	동작구	1,267,620	491,338	126,423	633,470	4,892	25,894	1,210	601,475	16,389	105	664	15,620
2017	관악구	1,687,190	633,775	247,399	778,331	-	10,258	1,397	766,676	27,685	222	-	27,463
2017	서초구	3,386,610	668,483	199,768	2,505,446	452,715	28,879	11,332	2,012,519	12,912	3,202	95	9,616
2017	강남구	4,615,922	863,427	122,679	3,610,427	38,278	62,427	8,776	3,500,946	19,389	1,231	1	18,157
2017	송파구	2,684,727	856,056	89,031	1,700,901	51,316	72,447	3,807	1,573,332	38,739	1,469	3	37,267
2017	강동구	1,496,299	537,935	62,169	865,628	183	135,731	2,321	727,393	30,568	2,042	14	28,511
