기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2015	합계	계	5,921	5,191	195	535	699	97	53,787.13	14,337,272	6,079,645	8,257,627	518,364,712	249	27	222	223	414
2015	합계	1월	458	394	23	41	55	4	2,559	1,337,115	501,662	835,453	28,831,583	26	5	21	11	43
2015	합계	2월	452	401	14	37	70	25	3,030.5	1,413,132	585,700	827,432	35,573,548	28	2	26	81	33
2015	합계	3월	607	514	24	69	77	6	29,345.67	1,480,430	581,082	899,348	49,744,823	25	3	22	14	38
2015	합계	4월	502	447	11	44	52	8	1,086	666,456	270,822	395,634	33,085,960	14	1	13	15	14
2015	합계	5월	541	466	24	51	69	5	4,267.78	1,719,102	598,130	1,120,972	36,975,692	22	1	21	13	23
2015	합계	6월	510	466	15	29	66	9	2,759.9	880,402	319,472	560,930	57,723,646	9	1	8	24	31
2015	합계	7월	494	436	16	42	47	1	1,479.87	1,031,493	452,519	578,974	59,747,151	17	2	15	4	6
2015	합계	8월	483	433	13	37	58	4	1,202.19	667,052	325,643	341,409	19,311,595	12	-	12	12	3
2015	합계	9월	514	446	15	53	37	1	1,420.04	889,059	421,117	467,942	26,339,028	21	2	19	3	11
2015	합계	10월	463	397	17	49	61	25	2,156.11	1,352,877	452,256	900,621	63,036,403	19	3	16	33	82
2015	합계	11월	397	348	10	39	48	6	2,107.37	1,545,179	838,096	707,083	42,372,392	29	2	27	9	54
2015	합계	12월	500	443	13	44	59	3	2,372.7	1,354,975	733,146	621,829	65,622,891	27	5	22	4	76
2015	종로구	계	260	226	10	24	8	3	1,461.93	566,923	203,662	363,261	13,229,001	9	4	5	3	5
2015	종로구	1월	17	13	3	1	-	-	82	27,344	15,255	12,089	1,117,635	1	-	1	-	3
2015	종로구	2월	19	17	-	2	-	-	100	35,579	11,975	23,604	2,206,916	-	-	-	-	-
2015	종로구	3월	18	16	-	2	-	-	172	85,632	61,473	24,159	226,941	1	-	1	-	-
2015	종로구	4월	24	21	-	3	-	-	41	20,580	10,526	10,054	200,269	-	-	-	-	-
2015	종로구	5월	30	30	-	-	-	-	12	8,749	1,664	7,085	1,368,018	-	-	-	-	-
2015	종로구	6월	29	25	3	1	-	-	530	37,191	4,056	33,135	68,062	2	-	2	-	-
2015	종로구	7월	24	20	2	2	-	-	28	38,874	3,528	35,346	1,026,624	1	1	-	-	-
2015	종로구	8월	16	14	1	1	-	-	2	2,418	356	2,062	6,856	-	-	-	-	-
2015	종로구	9월	19	16	1	2	-	-	45	11,271	4,137	7,134	366,774	2	2	-	-	-
2015	종로구	10월	21	18	-	3	-	-	14	9,970	2,571	7,399	4,816,965	-	-	-	-	-
2015	종로구	11월	22	17	-	5	8	3	303.93	221,980	68,683	153,297	1,229,210	2	1	1	3	2
2015	종로구	12월	21	19	-	2	-	-	132	67,335	19,438	47,897	594,731	-	-	-	-	-
2015	중구	계	237	215	5	17	8	19	1,270.55	570,265	211,366	358,899	9,997,862	2	-	2	19	28
2015	중구	1월	18	16	-	2	-	-	58.3	49,018	9,802	39,216	46,819	-	-	-	-	-
2015	중구	2월	14	10	1	3	3	-	48	68,651	10,631	58,020	448,024	-	-	-	-	3
2015	중구	3월	20	16	2	2	-	-	143.45	54,048	19,373	34,675	144,086	-	-	-	-	-
2015	중구	4월	24	23	-	1	-	-	13	11,241	1,957	9,284	109,512	-	-	-	-	-
2015	중구	5월	20	19	-	1	2	-	16	16,677	3,745	12,932	322,556	1	-	1	-	3
2015	중구	6월	16	15	-	1	1	-	6	23,128	6,969	16,159	1,521	-	-	-	-	-
2015	중구	7월	13	12	-	1	-	-	24	11,464	7,305	4,159	84,045	-	-	-	-	-
2015	중구	8월	19	18	-	1	-	-	89	38,278	20,380	17,898	12,071	-	-	-	-	-
2015	중구	9월	24	22	-	2	1	-	32	16,856	7,239	9,617	195,131	1	-	1	-	-
2015	중구	10월	26	23	1	2	-	19	737.8	216,336	100,636	115,700	7,342,700	-	-	-	19	12
2015	중구	11월	19	19	-	-	1	-	35	29,882	5,493	24,389	1,164,673	-	-	-	-	4
2015	중구	12월	24	22	1	1	-	-	68	34,686	17,836	16,850	126,724	-	-	-	-	6
2015	용산구	계	187	158	4	25	2	1	548.81	402,794	156,875	245,919	12,695,854	3	-	3	1	6
2015	용산구	1월	14	13	-	1	-	-	1	31,558	337	31,221	61,600	-	-	-	-	-
2015	용산구	2월	14	13	-	1	1	-	45.9	25,751	8,755	16,996	202,874	-	-	-	-	-
2015	용산구	3월	19	16	-	3	-	-	5	26,146	4,772	21,374	600,482	-	-	-	-	-
2015	용산구	4월	11	11	-	-	-	-	15	11,946	5,777	6,169	2,172,072	-	-	-	-	6
2015	용산구	5월	5	3	-	2	-	-	23	2,330	1,425	905	21,969	-	-	-	-	-
2015	용산구	6월	18	16	-	2	1	-	69.5	37,339	19,883	17,456	4,611,832	-	-	-	-	-
2015	용산구	7월	21	19	1	1	-	-	65	65,203	21,040	44,163	412,648	-	-	-	-	-
2015	용산구	8월	21	17	1	3	-	1	46.41	26,618	5,385	21,233	245,802	2	-	2	1	-
2015	용산구	9월	21	15	1	5	-	-	87	101,817	44,277	57,540	937,717	-	-	-	-	-
2015	용산구	10월	12	8	-	4	-	-	28	21,812	10,337	11,475	1,427,848	-	-	-	-	-
2015	용산구	11월	16	14	-	2	-	-	20	10,166	3,304	6,862	39,151	-	-	-	-	-
2015	용산구	12월	15	13	1	1	-	-	143	42,108	31,583	10,525	1,961,859	1	-	1	-	-
2015	성동구	계	197	174	6	17	7	2	791.8	399,265	156,154	243,111	27,060,239	5	-	5	4	4
2015	성동구	1월	16	13	2	1	1	-	187	48,707	33,267	15,440	758,307	-	-	-	-	2
2015	성동구	2월	13	12	-	1	2	-	206	26,495	14,666	11,829	4,457,835	-	-	-	-	-
2015	성동구	3월	21	17	2	2	2	-	172	74,681	27,479	47,202	5,984,428	-	-	-	-	-
2015	성동구	4월	17	15	-	2	1	-	7	15,447	1,344	14,103	1,579,150	-	-	-	-	-
2015	성동구	5월	20	20	-	-	-	-	59.7	29,423	11,462	17,961	304,780	-	-	-	-	-
2015	성동구	6월	21	17	-	4	-	-	47	54,421	10,463	43,958	1,314,804	1	-	1	-	-
2015	성동구	7월	11	10	-	1	-	-	6	45,151	7,998	37,153	494,166	-	-	-	-	-
2015	성동구	8월	17	16	-	1	1	1	6	6,500	1,387	5,113	784,071	-	-	-	1	-
2015	성동구	9월	18	15	2	1	-	1	9.9	16,310	7,666	8,644	9,132,890	2	-	2	3	2
2015	성동구	10월	13	12	-	1	-	-	28.3	5,057	2,194	2,863	567,700	1	-	1	-	-
2015	성동구	11월	12	10	-	2	-	-	42.9	32,421	16,302	16,119	467,902	1	-	1	-	-
2015	성동구	12월	18	17	-	1	-	-	20	44,652	21,926	22,726	1,214,206	-	-	-	-	-
2015	광진구	계	241	218	4	19	10	1	1,067.62	584,151	239,832	344,319	36,027,165	13	-	13	1	7
2015	광진구	1월	10	10	-	-	-	-	20	18,930	11,732	7,198	515,859	-	-	-	-	-
2015	광진구	2월	17	16	1	-	1	-	92	55,245	34,481	20,764	4,200,298	1	-	1	-	2
2015	광진구	3월	28	27	-	1	2	1	30	20,792	5,601	15,191	997,236	2	-	2	1	1
2015	광진구	4월	23	22	-	1	2	-	37.6	18,617	11,866	6,751	1,318,395	2	-	2	-	4
2015	광진구	5월	28	26	1	1	-	-	622.32	94,620	71,650	22,970	6,032,183	2	-	2	-	-
2015	광진구	6월	15	12	1	2	-	-	-	97,720	6,614	91,106	999,803	-	-	-	-	-
2015	광진구	7월	19	15	-	4	1	-	-	78,358	25,617	52,741	11,980,165	-	-	-	-	-
2015	광진구	8월	22	21	-	1	1	-	36.4	29,405	13,371	16,034	1,669,257	2	-	2	-	-
