기간	자치구	합계	가정용	공공용	서비스업	서비스업	서비스업	서비스업	서비스업	산업용	산업용	산업용	산업용
기간	자치구	합계	가정용	공공용	소계	전철	수도	사업자용	순수서비스	소계	농림어업	광업	제조업
2019	합계	47,167,206	13,499,067	3,697,300	28,340,647	1,528,759	667,943	102,226	26,041,719	1,630,192	15,194	2,067	1,612,931
2019	종로구	1,746,554	252,182	193,563	1,228,262	-	2,666	2,343	1,223,254	72,547	70	558	71,919
2019	중구	2,460,734	198,995	109,022	1,933,143	-	275	11,429	1,921,439	219,574	31	164	219,379
2019	용산구	1,401,975	396,300	296,811	689,707	6,388	6,096	835	676,388	19,157	40	-	19,117
2019	성동구	2,177,900	433,693	331,355	1,175,037	202,804	58,763	3,717	909,753	237,815	371	261	237,183
2019	광진구	1,633,402	463,147	102,439	1,034,436	307,566	61,833	3,625	661,412	33,380	275	70	33,035
2019	동대문구	1,428,686	493,434	132,432	724,097	62,484	9,064	2,063	650,486	78,723	316	54	78,353
2019	중랑구	1,104,107	505,423	39,733	500,313	1,824	5,704	2,254	490,531	58,638	419	37	58,182
2019	성북구	1,444,405	591,489	222,545	581,989	-	17,401	1,453	563,135	48,383	194	12	48,177
2019	강북구	916,167	394,707	54,477	431,761	-	7,436	956	423,369	35,222	150	7	35,066
2019	도봉구	882,388	421,539	52,607	360,990	-	6,213	1,463	353,313	47,253	373	-	46,880
2019	노원구	1,507,251	667,527	164,020	640,633	-	14,157	4,483	621,993	35,071	372	-	34,699
2019	은평구	1,427,730	622,160	83,162	707,613	135,973	9,681	2,271	559,689	14,795	282	24	14,489
2019	서대문구	1,253,576	427,837	301,099	507,859	-	12,045	283	495,532	16,780	75	6	16,700
2019	마포구	2,167,127	565,056	141,287	1,436,397	14,409	9,491	12,382	1,400,114	24,387	219	5	24,164
2019	양천구	1,672,962	622,916	65,011	965,453	-	7,594	2,832	955,026	19,581	215	149	19,217
2019	강서구	2,558,240	804,598	256,948	1,439,835	33,828	5,309	3,599	1,397,100	56,858	2,818	91	53,949
2019	구로구	1,895,191	572,072	64,822	1,151,225	244,976	9,278	2,541	894,430	107,071	291	461	106,320
2019	금천구	1,613,000	311,918	27,156	1,020,554	-	3,787	1,797	1,014,970	253,371	209	15	253,148
2019	영등포구	2,652,173	578,211	156,329	1,806,414	21,388	91,523	8,636	1,684,867	111,218	277	48	110,893
2019	동작구	1,289,443	512,558	129,562	631,904	5,894	25,194	1,284	599,532	15,419	161	-	15,258
2019	관악구	1,710,701	648,595	253,238	783,973	-	9,921	1,740	772,312	24,895	203	-	24,692
2019	서초구	3,279,210	677,427	202,788	2,385,550	396,888	24,525	12,605	1,951,531	13,446	3,960	92	9,394
2019	강남구	4,586,659	874,585	127,063	3,568,202	39,563	64,101	9,865	3,454,672	16,809	1,069	-	15,740
2019	송파구	2,837,244	918,279	118,192	1,759,015	54,772	75,216	4,570	1,624,458	41,757	1,217	4	40,535
2019	강동구	1,520,384	544,419	71,638	876,286	-	130,672	3,199	742,414	28,042	1,588	11	26,442
