기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2013	합계	계	5,646	4,982	262	402	998	58	39,305.92	21,495,228	6,814,090	14,681,138	1,504,175,168	233	31	202	153	401
2013	합계	1월	530	455	28	47	116	5	3,473.06	4,140,544	991,976	3,148,568	41,226,242	35	5	30	13	40
2013	합계	2월	429	385	14	30	69	2	6,445.31	1,844,993	646,153	1,198,840	54,596,875	26	5	21	9	35
2013	합계	3월	552	493	23	36	97	5	5,454.65	1,697,927	493,605	1,204,322	30,139,294	16	3	13	13	48
2013	합계	4월	450	401	21	28	74	5	7,472.9	898,390	295,903	602,487	31,715,791	19	3	16	14	16
2013	합계	5월	461	409	24	28	78	6	1,590.2	845,732	382,451	463,281	64,621,947	11	4	7	15	14
2013	합계	6월	460	420	16	24	78	5	1,051.5	734,894	343,828	391,066	20,127,507	10	1	9	10	12
2013	합계	7월	461	419	14	28	72	9	1,230.43	963,733	337,049	626,684	38,686,561	15	-	15	21	17
2013	합계	8월	462	410	18	34	87	2	1,337.2	1,257,583	565,111	692,472	194,323,052	15	3	12	5	32
2013	합계	9월	491	422	32	37	81	6	2,127.36	1,451,823	494,386	957,437	50,701,909	16	1	15	15	19
2013	합계	10월	454	388	30	36	85	5	3,133.61	2,252,651	646,434	1,606,217	27,659,846	28	3	25	12	72
2013	합계	11월	432	378	22	32	84	2	3,216	3,761,972	968,013	2,793,959	907,893,543	23	2	21	9	59
2013	합계	12월	464	402	20	42	77	6	2,773.7	1,644,986	649,181	995,805	42,482,601	19	1	18	17	37
2013	종로구	계	254	216	16	22	8	-	2,090.24	1,165,759	381,341	784,418	20,362,771	3	1	2	-	3
2013	종로구	1월	27	24	-	3	2	-	157.6	218,915	21,876	197,039	2,671,406	2	1	1	-	-
2013	종로구	2월	21	15	2	4	-	-	1,055.14	500,475	211,279	289,196	1,100,984	-	-	-	-	-
2013	종로구	3월	13	11	1	1	-	-	242.8	74,455	48,173	26,282	127,603	-	-	-	-	-
2013	종로구	4월	19	19	-	-	1	-	25.2	7,184	2,571	4,613	1,169,363	-	-	-	-	-
2013	종로구	5월	19	17	-	2	1	-	100	67,443	11,621	55,822	158,955	-	-	-	-	-
2013	종로구	6월	24	24	-	-	-	-	34.5	13,044	4,696	8,348	731,650	-	-	-	-	-
2013	종로구	7월	25	20	3	2	-	-	5	29,052	3,277	25,775	182,018	1	-	1	-	3
2013	종로구	8월	23	19	1	3	1	-	28.5	24,726	10,220	14,506	272,761	-	-	-	-	-
2013	종로구	9월	25	17	7	1	1	-	382.6	193,427	56,626	136,801	6,929,770	-	-	-	-	-
2013	종로구	10월	19	18	-	1	-	-	21	10,249	1,519	8,730	97,738	-	-	-	-	-
2013	종로구	11월	18	15	1	2	2	-	31.6	22,074	8,125	13,949	5,489,020	-	-	-	-	-
2013	종로구	12월	21	17	1	3	-	-	6.3	4,715	1,358	3,357	1,431,503	-	-	-	-	-
2013	중구	계	190	152	10	28	26	3	1,655.27	1,822,207	356,564	1,465,643	312,880	12	5	7	7	11
2013	중구	1월	16	10	2	4	4	-	124.61	125,316	25,223	100,093	-	-	-	-	-	-
2013	중구	2월	15	13	-	2	3	-	352	112,557	40,216	72,341	73,135	1	-	1	-	-
2013	중구	3월	22	15	4	3	3	-	78	708,653	82,612	626,041	-	1	1	-	-	-
2013	중구	4월	11	11	-	-	6	-	576	202,451	70,547	131,904	3,989	2	-	2	-	-
2013	중구	5월	9	8	-	1	-	-	-	9,502	-	9,502	-	-	-	-	-	-
2013	중구	6월	10	9	-	1	1	-	10	6,072	1,626	4,446	94,541	-	-	-	-	-
2013	중구	7월	19	17	-	2	1	-	30	27,797	8,649	19,148	68,366	2	-	2	-	6
2013	중구	8월	21	18	1	2	2	-	120	158,162	36,671	121,491	-	3	2	1	-	5
2013	중구	9월	17	12	-	5	2	3	247.66	204,796	65,243	139,553	-	-	-	-	7	-
2013	중구	10월	15	10	2	3	1	-	25	161,875	8,572	153,303	-	1	1	-	-	-
2013	중구	11월	17	15	-	2	1	-	13	40,094	4,147	35,947	72,849	1	-	1	-	-
2013	중구	12월	18	14	1	3	2	-	79	64,932	13,058	51,874	-	1	1	-	-	-
2013	용산구	계	170	136	12	22	12	-	601	616,015	131,712	484,303	135,809,227	4	1	3	-	11
2013	용산구	1월	13	12	-	1	1	-	21	24,631	6,187	18,444	912,923	-	-	-	-	-
2013	용산구	2월	14	12	-	2	-	-	15	80,107	2,598	77,509	-	-	-	-	-	-
2013	용산구	3월	12	10	-	2	1	-	20	50,917	1,526	49,391	1,515,685	-	-	-	-	-
2013	용산구	4월	17	10	2	5	-	-	-	9,026	949	8,077	847,414	-	-	-	-	-
2013	용산구	5월	14	12	2	-	1	-	12	34,122	6,384	27,738	233,313	1	-	1	-	1
2013	용산구	6월	14	11	1	2	-	-	-	6,946	1,700	5,246	819,525	-	-	-	-	-
2013	용산구	7월	15	12	1	2	1	-	108	59,182	20,905	38,277	1,040,587	1	-	1	-	-
2013	용산구	8월	16	14	-	2	1	-	32	28,770	14,130	14,640	107,883,217	-	-	-	-	9
2013	용산구	9월	14	11	-	3	1	-	317	257,686	56,504	201,182	2,627,425	1	1	-	-	-
2013	용산구	10월	12	7	2	3	3	-	58	46,969	15,455	31,514	460,015	-	-	-	-	-
2013	용산구	11월	12	12	-	-	-	-	6	8,628	2,762	5,866	55,433	-	-	-	-	-
2013	용산구	12월	17	13	4	-	3	-	12	9,031	2,612	6,419	19,413,690	1	-	1	-	1
2013	성동구	계	185	165	8	12	21	1	2,326.79	1,905,176	420,498	1,484,678	822,900,303	8	-	8	3	4
2013	성동구	1월	21	20	1	-	5	-	20.2	49,400	3,299	46,101	6,597,020	-	-	-	-	-
2013	성동구	2월	14	13	-	1	1	-	3	6,767	2,926	3,841	443,333	-	-	-	-	-
2013	성동구	3월	13	13	-	-	2	-	22	35,573	13,431	22,142	115,275	-	-	-	-	-
2013	성동구	4월	12	8	3	1	2	-	46	12,302	5,917	6,385	133,457	1	-	1	-	-
2013	성동구	5월	15	13	1	1	-	-	35	38,760	18,020	20,740	1,138,491	-	-	-	-	2
2013	성동구	6월	13	12	-	1	-	-	1	8,393	166	8,227	40,505	-	-	-	-	-
2013	성동구	7월	21	20	-	1	2	-	290.59	211,854	36,865	174,989	543,620	2	-	2	-	-
2013	성동구	8월	10	9	-	1	-	-	21	14,537	7,810	6,727	568,836	-	-	-	-	-
2013	성동구	9월	20	18	1	1	2	1	130	105,617	30,051	75,566	1,259,807	-	-	-	3	-
2013	성동구	10월	12	10	1	1	4	-	727	868,853	55,133	813,720	405,624	1	-	1	-	-
2013	성동구	11월	16	13	1	2	1	-	904	320,138	224,520	95,618	809,824,897	4	-	4	-	2
2013	성동구	12월	18	16	-	2	2	-	127	232,982	22,360	210,622	1,829,438	-	-	-	-	-
2013	광진구	계	214	196	7	11	15	1	578.6	536,964	329,952	207,012	24,590,833	11	-	11	1	10
2013	광진구	1월	18	14	3	1	5	-	26.6	23,734	9,068	14,666	186	1	-	1	-	3
2013	광진구	2월	14	14	-	-	-	-	1	4,762	1,721	3,041	409,697	1	-	1	-	-
2013	광진구	3월	22	21	-	1	2	-	56	58,032	23,327	34,705	680,447	-	-	-	-	-
2013	광진구	4월	19	17	-	2	1	-	24	26,891	14,474	12,417	306,898	-	-	-	-	-
2013	광진구	5월	24	22	2	-	1	-	7	12,904	6,506	6,398	15,584,057	-	-	-	-	1
2013	광진구	6월	20	19	1	-	1	-	64	22,682	13,616	9,066	331,359	-	-	-	-	1
2013	광진구	7월	16	15	-	1	-	-	5	6,792	2,031	4,761	198,357	1	-	1	-	-
2013	광진구	8월	23	21	-	2	-	-	50	228,905	160,379	68,526	420,911	6	-	6	-	5
2013	광진구	9월	11	9	-	2	1	1	276	100,181	76,913	23,268	716,288	-	-	-	1	-
2013	광진구	10월	22	20	1	1	3	-	18	20,599	6,936	13,663	3,263,132	2	-	2	-	-
2013	광진구	11월	13	13	-	-	1	-	48	19,064	9,105	9,959	1,051,698	-	-	-	-	-
2013	광진구	12월	12	11	-	1	-	-	3	12,418	5,876	6,542	1,627,803	-	-	-	-	-
2013	동대문구	계	206	179	4	23	32	-	524	388,330	189,387	198,943	8,180,365	4	-	4	-	2
2013	동대문구	1월	23	16	-	7	5	-	134	129,575	111,349	18,226	3,288,327	-	-	-	-	-
2013	동대문구	2월	14	13	-	1	1	-	32	15,876	1,388	14,488	203,821	-	-	-	-	-
2013	동대문구	3월	27	26	-	1	3	-	78	71,186	21,917	49,269	546,756	-	-	-	-	-
2013	동대문구	4월	21	16	1	4	6	-	72	47,780	12,291	35,489	235,031	-	-	-	-	-
2013	동대문구	5월	17	15	2	-	1	-	3	2,958	615	2,343	141,751	-	-	-	-	-
2013	동대문구	6월	14	13	-	1	3	-	19	10,767	3,468	7,299	143,363	1	-	1	-	1
2013	동대문구	7월	10	8	-	2	4	-	20	26,808	4,810	21,998	1,503,800	-	-	-	-	-
2013	동대문구	8월	13	11	-	2	1	-	28	12,975	6,790	6,185	80,036	-	-	-	-	-
2013	동대문구	9월	13	11	-	2	1	-	7	4,725	1,530	3,195	189,989	-	-	-	-	-
2013	동대문구	10월	11	9	1	1	-	-	-	1,941	119	1,822	1,453	-	-	-	-	-
2013	동대문구	11월	15	14	-	1	3	-	24	11,902	4,951	6,951	348,474	-	-	-	-	-
2013	동대문구	12월	28	27	-	1	4	-	107	51,837	20,159	31,678	1,497,564	3	-	3	-	1
2013	중랑구	계	158	122	18	18	76	1	901.9	523,523	188,640	334,883	18,967,717	11	3	8	4	14
2013	중랑구	1월	14	8	2	4	7	-	24	49,638	8,927	40,711	3,493,992	4	1	3	-	2
2013	중랑구	2월	11	9	2	-	4	-	3	21,870	3,373	18,497	598,055	4	1	3	-	11
2013	중랑구	3월	16	16	-	-	3	-	84	10,573	4,502	6,071	318,971	-	-	-	-	-
2013	중랑구	4월	14	12	1	1	8	-	3	15,933	4,589	11,344	3,062,597	-	-	-	-	-
2013	중랑구	5월	17	9	6	2	8	-	4	9,557	2,424	7,133	1,691,945	-	-	-	-	-
2013	중랑구	6월	9	6	2	1	12	-	85	45,380	19,935	25,445	2,641,713	-	-	-	-	-
2013	중랑구	7월	18	17	-	1	8	-	93	50,315	25,234	25,081	338,494	-	-	-	-	-
2013	중랑구	8월	14	10	1	3	7	-	75	119,091	31,825	87,266	1,938,400	-	-	-	-	-
2013	중랑구	9월	11	8	2	1	8	-	150	44,397	18,694	25,703	1,721,942	1	-	1	-	-
2013	중랑구	10월	12	8	2	2	4	1	348.4	107,416	57,103	50,313	1,070,696	2	1	1	4	1
2013	중랑구	11월	11	9	-	2	3	-	21.5	31,690	4,045	27,645	1,347,541	-	-	-	-	-
2013	중랑구	12월	11	10	-	1	4	-	11	17,663	7,989	9,674	743,371	-	-	-	-	-
2013	성북구	계	204	188	4	12	1	-	707.2	467,510	189,124	278,386	12,054,167	3	-	3	-	19
2013	성북구	1월	23	21	1	1	-	-	101.8	64,298	11,428	52,870	485,706	-	-	-	-	-
2013	성북구	2월	18	17	1	-	-	-	45.3	24,808	10,618	14,190	479,088	-	-	-	-	1
2013	성북구	3월	16	14	-	2	-	-	71.3	22,865	8,510	14,355	435,814	-	-	-	-	-
2013	성북구	4월	13	13	-	-	-	-	82.1	23,476	12,936	10,540	230,310	1	-	1	-	-
2013	성북구	5월	18	18	-	-	-	-	55.9	36,750	15,748	21,002	2,994,161	-	-	-	-	-
2013	성북구	6월	11	9	-	2	-	-	39.6	17,796	9,577	8,219	664,718	-	-	-	-	1
2013	성북구	7월	12	12	-	-	-	-	17.2	12,467	7,576	4,891	312,762	-	-	-	-	-
2013	성북구	8월	24	23	-	1	1	-	80.2	65,207	32,352	32,855	1,761,845	-	-	-	-	-
2013	성북구	9월	20	18	1	1	-	-	40.6	40,408	22,634	17,774	701,000	-	-	-	-	-
2013	성북구	10월	21	18	-	3	-	-	99.5	95,978	26,986	68,992	3,191,327	1	-	1	-	17
2013	성북구	11월	11	10	-	1	-	-	26.5	20,161	12,895	7,266	391,405	-	-	-	-	-
2013	성북구	12월	17	15	1	1	-	-	47.2	43,296	17,864	25,432	406,031	1	-	1	-	-
2013	강북구	계	229	211	9	9	99	5	2,446.56	618,876	385,460	233,416	21,865,597	4	1	3	15	12
2013	강북구	1월	18	16	1	1	4	-	43	23,930	14,853	9,077	1,882,613	1	-	1	-	1
2013	강북구	2월	21	18	1	2	6	-	27	28,085	7,624	20,461	1,988,281	-	-	-	-	-
2013	강북구	3월	25	23	2	-	13	-	525.25	18,833	6,615	12,218	2,577,578	-	-	-	-	-
2013	강북구	4월	17	17	-	-	6	-	88	13,515	8,217	5,298	993,330	1	1	-	-	-
2013	강북구	5월	22	22	-	-	10	-	15	11,386	3,234	8,152	770,004	-	-	-	-	1
2013	강북구	6월	21	18	1	2	7	-	66	27,052	8,090	18,962	961,435	-	-	-	-	-
2013	강북구	7월	12	11	-	1	5	-	-	1,637	532	1,105	311,633	1	-	1	-	-
2013	강북구	8월	24	22	1	1	13	-	239	70,094	27,765	42,329	2,971,032	-	-	-	-	-
2013	강북구	9월	24	24	-	-	9	-	1	7,111	1,435	5,676	1,070,235	-	-	-	-	-
2013	강북구	10월	21	19	1	1	11	-	73.71	29,525	12,813	16,712	2,635,576	-	-	-	-	10
2013	강북구	11월	12	11	1	-	6	-	108	68,963	35,931	33,032	1,274,543	1	-	1	-	-
2013	강북구	12월	12	10	1	1	9	5	1,260.6	318,745	258,351	60,394	4,429,337	-	-	-	15	-
2013	도봉구	계	218	190	11	17	1	-	498	247,014	84,748	162,266	2,282,703	2	1	1	-	2
2013	도봉구	1월	12	10	1	1	-	-	7	10,586	1,332	9,254	78,013	-	-	-	-	-
2013	도봉구	2월	17	16	-	1	-	-	5	26,807	1,392	25,415	3,941	-	-	-	-	-
2013	도봉구	3월	23	20	1	2	-	-	120	19,497	10,732	8,765	455	-	-	-	-	-
