기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2018	합계	계	6,368	5,662	167	539	1,033	177	27,007.52	21,239,984	5,478,877	15,761,107	606,988,371	360	53	307	360	911
2018	합계	1월	651	572	18	61	165	39	3,254.61	1,920,810	663,100	1,257,710	54,388,123	57	15	42	42	112
2018	합계	2월	533	467	13	53	150	18	4,593.09	1,841,395	694,234	1,147,161	185,446,777	25	5	20	46	90
2018	합계	3월	511	454	25	32	92	7	2,083.78	936,411	397,864	538,547	35,069,863	21	2	19	18	89
2018	합계	4월	528	463	12	53	91	14	2,513.7	764,546	309,386	455,160	36,065,002	15	3	12	34	55
2018	합계	5월	508	450	21	37	82	11	1,647.6	1,264,744	533,462	731,282	41,929,389	42	4	38	17	101
2018	합계	6월	482	436	14	32	63	11	1,651.7	710,403	245,533	464,870	11,534,574	41	3	38	33	68
2018	합계	7월	559	507	9	43	74	3	1,137.1	790,909	324,034	466,875	56,289,701	17	1	16	6	74
2018	합계	8월	616	561	9	46	76	7	1,040.7	1,034,940	487,048	547,892	59,381,903	31	-	31	56	64
2018	합계	9월	479	426	7	46	51	7	1,527.3	1,359,974	461,721	898,253	31,868,154	27	4	23	14	67
2018	합계	10월	505	457	13	35	58	28	870.5	708,518	316,128	392,390	42,606,998	20	1	19	39	51
2018	합계	11월	432	385	12	35	50	27	1,375.4	8,341,323	383,152	7,958,171	16,739,601	33	8	25	27	56
2018	합계	12월	564	484	14	66	81	5	5,312.04	1,566,011	663,215	902,796	35,668,286	31	7	24	28	84
2018	종로구	계	254	219	7	28	20	43	909.09	574,300	279,955	294,345	12,190,920	36	14	22	44	60
2018	종로구	1월	30	26	1	3	7	14	186	69,915	51,293	18,622	2,325,128	13	7	6	14	40
2018	종로구	2월	22	17	-	5	5	1	77.69	91,090	38,257	52,833	1,261,695	-	-	-	2	-
2018	종로구	3월	17	15	2	-	-	1	-	3,552	661	2,891	505,938	-	-	-	1	-
2018	종로구	4월	18	16	1	1	3	-	57	23,024	11,329	11,695	338,548	2	-	2	-	1
2018	종로구	5월	13	12	-	1	1	-	7	4,041	2,887	1,154	2,085,418	-	-	-	-	-
2018	종로구	6월	24	20	3	1	1	-	10	11,290	2,431	8,859	145,288	-	-	-	-	4
2018	종로구	7월	21	16	-	5	1	-	30	24,992	9,857	15,135	164,118	1	-	1	-	3
2018	종로구	8월	25	23	-	2	1	-	8	18,322	2,227	16,095	1,027,339	-	-	-	-	-
2018	종로구	9월	23	20	-	3	1	-	39	85,611	11,184	74,427	646,001	-	-	-	-	-
2018	종로구	10월	21	19	-	2	-	-	83	76,833	38,634	38,199	495,777	-	-	-	-	-
2018	종로구	11월	21	18	-	3	-	27	304.4	124,216	80,236	43,980	1,626,915	19	7	12	27	12
2018	종로구	12월	19	17	-	2	-	-	107	41,414	30,959	10,455	1,568,755	1	-	1	-	-
2018	중구	계	275	244	7	24	63	8	1,424.61	1,257,005	558,830	698,175	45,635,102	23	-	23	19	44
2018	중구	1월	25	21	-	4	6	-	233.07	69,384	18,728	50,656	674,247	3	-	3	-	12
2018	중구	2월	22	18	1	3	27	-	516	326,950	122,184	204,766	1,819,347	-	-	-	2	2
2018	중구	3월	26	24	-	2	6	-	74	28,713	13,779	14,934	1,284,000	1	-	1	-	3
2018	중구	4월	17	16	-	1	1	8	76	81,207	19,797	61,410	1,028,533	-	-	-	17	-
2018	중구	5월	24	22	1	1	4	-	59	159,337	136,153	23,184	312,909	16	-	16	-	6
2018	중구	6월	22	20	2	-	3	-	58.8	90,558	24,944	65,614	98,711	-	-	-	-	2
2018	중구	7월	29	27	-	2	2	-	27	13,499	5,905	7,594	30,728,290	-	-	-	-	2
2018	중구	8월	23	21	-	2	3	-	23	102,046	77,488	24,558	3,799,170	1	-	1	-	-
2018	중구	9월	18	16	-	2	1	-	28	40,615	14,244	26,371	607,307	-	-	-	-	2
2018	중구	10월	18	18	-	-	1	-	-	3,026	55	2,971	224,564	-	-	-	-	-
2018	중구	11월	22	18	3	1	3	-	179	224,945	60,588	164,357	2,246,212	2	-	2	-	12
2018	중구	12월	29	23	-	6	6	-	150.74	116,725	64,965	51,760	2,811,812	-	-	-	-	3
2018	용산구	계	211	165	5	41	21	1	405	394,903	123,288	271,615	25,313,037	7	1	6	1	15
2018	용산구	1월	20	15	-	5	-	-	15	63,043	7,023	56,020	9,887,132	1	-	1	-	2
2018	용산구	2월	25	19	1	5	6	1	78	43,860	17,285	26,575	1,495,482	1	-	1	1	1
2018	용산구	3월	18	11	2	5	5	-	132	66,500	40,270	26,230	674,078	1	-	1	-	3
2018	용산구	4월	22	15	-	7	3	-	36	30,292	10,040	20,252	272,758	-	-	-	-	-
2018	용산구	5월	17	16	-	1	-	-	-	3,665	500	3,165	18,180	-	-	-	-	-
2018	용산구	6월	18	14	-	4	1	-	28	29,846	7,445	22,401	2,305,506	2	1	1	-	3
2018	용산구	7월	18	15	-	3	1	-	15	13,937	3,034	10,903	6,145,023	-	-	-	-	-
2018	용산구	8월	14	11	-	3	2	-	55	44,171	13,554	30,617	544,457	-	-	-	-	-
2018	용산구	9월	14	12	-	2	1	-	5	37,459	1,757	35,702	86,220	-	-	-	-	-
2018	용산구	10월	16	12	-	4	1	-	17	18,610	5,000	13,610	166,624	2	-	2	-	5
2018	용산구	11월	15	14	1	-	1	-	21	32,554	14,821	17,733	151,963	-	-	-	-	1
2018	용산구	12월	14	11	1	2	-	-	3	10,966	2,559	8,407	3,565,614	-	-	-	-	-
2018	성동구	계	212	186	1	25	40	2	580.18	616,085	162,939	453,146	5,379,167	12	-	12	3	18
2018	성동구	1월	24	19	-	5	7	-	16.5	88,258	14,758	73,500	2,417,409	3	-	3	-	-
2018	성동구	2월	20	18	-	2	9	-	67	67,773	18,386	49,387	617,746	2	-	2	-	-
2018	성동구	3월	16	15	-	1	4	1	63.38	44,785	13,154	31,631	107,919	1	-	1	1	-
2018	성동구	4월	16	14	-	2	1	-	30	36,988	9,283	27,705	45,961	1	-	1	-	-
2018	성동구	5월	24	20	1	3	6	-	110	122,813	24,818	97,995	501,272	1	-	1	-	1
2018	성동구	6월	12	12	-	-	-	-	1	5,424	1,880	3,544	9,188	2	-	2	-	-
2018	성동구	7월	17	15	-	2	-	-	-	7,737	254	7,483	5,434	-	-	-	-	-
2018	성동구	8월	18	15	-	3	1	-	6	9,339	824	8,515	22,957	-	-	-	-	2
