기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2017	합계	계	5,978	5,346	123	509	668	71	85,589.83	15,323,890	6,592,363	8,731,527	780,427,721	283	37	246	148	794
2017	합계	1월	513	452	20	41	61	4	2,364.15	1,322,875	453,622	869,253	38,953,437	17	4	13	16	29
2017	합계	2월	442	379	12	51	52	1	2,349.28	1,144,247	471,809	672,438	218,887,430	19	2	17	3	93
2017	합계	3월	522	475	11	36	51	9	12,432.05	2,248,904	1,417,807	831,097	47,559,747	30	6	24	25	48
2017	합계	4월	480	425	9	46	61	16	6,708.08	952,204	324,456	627,748	30,813,729	25	3	22	17	53
2017	합계	5월	525	470	10	45	55	9	4,145.99	1,218,663	433,599	785,064	44,512,952	23	5	18	23	55
2017	합계	6월	507	458	11	38	49	6	45,101.17	926,051	317,749	608,302	61,710,568	21	4	17	16	150
2017	합계	7월	509	459	6	44	48	1	947.17	833,273	370,841	462,432	41,239,851	9	-	9	3	42
2017	합계	8월	480	433	6	41	26	-	1,251.1	1,061,597	402,834	658,763	65,081,460	24	-	24	-	54
2017	합계	9월	525	464	12	49	52	6	1,389.09	1,434,617	403,677	1,030,940	27,044,840	24	2	22	13	69
2017	합계	10월	488	437	14	37	36	5	1,500.84	1,239,319	588,466	650,853	87,414,167	25	2	23	9	133
2017	합계	11월	477	437	5	35	87	3	3,654.79	1,115,779	549,950	565,829	76,703,122	38	3	35	7	30
2017	합계	12월	510	457	7	46	90	11	3,746.12	1,826,361	857,553	968,808	40,506,418	28	6	22	16	38
2017	종로구	계	234	197	6	31	13	9	831.93	1,077,665	193,128	884,537	7,859,982	4	1	3	20	16
2017	종로구	1월	16	11	2	3	-	-	24	114,669	20,961	93,708	97,528	1	1	-	-	-
2017	종로구	2월	15	10	-	5	-	-	76	31,056	7,003	24,053	3,165	-	-	-	-	-
2017	종로구	3월	11	11	-	-	-	-	12	5,435	2,970	2,465	14,648	-	-	-	-	2
2017	종로구	4월	29	24	1	4	-	-	98	62,448	16,838	45,610	483,507	2	-	2	-	-
2017	종로구	5월	23	19	-	4	1	8	83	62,269	17,515	44,754	318,981	-	-	-	19	-
2017	종로구	6월	19	16	1	2	-	-	135	137,193	37,907	99,286	1,649,164	1	-	1	-	1
2017	종로구	7월	30	26	-	4	-	-	11	11,228	3,564	7,664	121,369	-	-	-	-	3
2017	종로구	8월	20	18	-	2	1	-	47	39,141	8,893	30,248	634,753	-	-	-	-	4
2017	종로구	9월	21	17	-	4	8	-	292.93	507,921	61,209	446,712	1,009,245	-	-	-	-	2
2017	종로구	10월	14	11	2	1	1	1	5	19,570	7,577	11,993	303,277	-	-	-	1	1
2017	종로구	11월	12	12	-	-	-	-	6	12,071	2,585	9,486	161,555	-	-	-	-	3
2017	종로구	12월	24	22	-	2	2	-	42	74,664	6,106	68,558	3,062,790	-	-	-	-	-
2017	중구	계	198	177	3	18	34	13	1,077.41	485,392	199,688	285,704	6,129,751	19	5	14	14	17
2017	중구	1월	12	11	-	1	2	-	132	55,240	6,582	48,658	67,833	-	-	-	-	-
2017	중구	2월	13	12	-	1	1	-	15	24,022	6,809	17,213	84,233	-	-	-	-	2
2017	중구	3월	15	14	-	1	4	1	83.05	36,963	12,299	24,664	143	1	1	-	2	1
2017	중구	4월	11	10	-	1	1	11	41	21,264	6,699	14,565	7,508	1	-	1	11	-
2017	중구	5월	21	19	-	2	10	-	572	197,833	99,019	98,814	676,934	7	4	3	-	3
2017	중구	6월	16	14	-	2	2	-	33	5,089	708	4,381	226,590	-	-	-	-	-
2017	중구	7월	16	13	-	3	5	-	69	43,033	13,749	29,284	764,713	-	-	-	-	2
2017	중구	8월	15	14	-	1	2	-	1	4,116	1,003	3,113	521,529	1	-	1	-	-
2017	중구	9월	26	22	2	2	2	-	8	7,223	1,810	5,413	941,370	1	-	1	-	-
2017	중구	10월	16	15	-	1	-	-	26	27,295	15,154	12,141	595,330	1	-	1	-	-
2017	중구	11월	14	12	1	1	1	-	4	5,373	967	4,406	1,940,691	5	-	5	-	1
2017	중구	12월	23	21	-	2	4	1	93.36	57,941	34,889	23,052	302,877	2	-	2	1	8
2017	용산구	계	167	145	-	22	6	7	619.5	262,910	112,190	150,720	14,355,773	6	-	6	22	8
2017	용산구	1월	12	9	-	3	-	-	30	12,293	7,682	4,611	42,493	-	-	-	-	-
2017	용산구	2월	11	10	-	1	-	-	15	4,784	1,661	3,123	-	-	-	-	-	-
2017	용산구	3월	17	15	-	2	-	7	116	76,705	33,233	43,472	487,389	4	-	4	22	3
2017	용산구	4월	12	9	-	3	-	-	95	11,507	7,856	3,651	587,091	2	-	2	-	1
2017	용산구	5월	16	14	-	2	-	-	6.5	9,320	1,846	7,474	1,861	-	-	-	-	-
2017	용산구	6월	16	15	-	1	3	-	28	6,676	3,390	3,286	21,374	-	-	-	-	-
2017	용산구	7월	14	13	-	1	-	-	3	5,850	1,385	4,465	254,594	-	-	-	-	1
2017	용산구	8월	15	14	-	1	-	-	24	36,568	9,557	27,011	3,331,034	-	-	-	-	-
2017	용산구	9월	13	12	-	1	-	-	9	5,720	3,478	2,242	20,576	-	-	-	-	1
2017	용산구	10월	9	7	-	2	1	-	23	30,645	6,161	24,484	2,596,765	-	-	-	-	1
2017	용산구	11월	18	16	-	2	-	-	63	28,481	12,738	15,743	1,156,426	-	-	-	-	-
2017	용산구	12월	14	11	-	3	2	-	207	34,361	23,203	11,158	5,856,170	-	-	-	-	1
2017	성동구	계	197	173	4	20	36	-	939.7	621,324	228,269	393,055	16,032,935	12	1	11	-	10
2017	성동구	1월	18	18	-	-	3	-	45	43,176	18,273	24,903	2,042,935	-	-	-	-	7
2017	성동구	2월	11	11	-	-	1	-	2	10,884	3,387	7,497	998,974	2	-	2	-	-
2017	성동구	3월	14	12	1	1	3	-	344	102,307	39,399	62,908	2,978,149	2	1	1	-	-
2017	성동구	4월	12	10	-	2	-	-	-	11,136	170	10,966	65,404	-	-	-	-	1
2017	성동구	5월	14	12	1	1	1	-	96	108,114	37,382	70,732	1,163,288	-	-	-	-	-
2017	성동구	6월	15	13	-	2	1	-	16.5	11,518	6,247	5,271	2,219,453	-	-	-	-	-
2017	성동구	7월	16	14	-	2	5	-	113.8	66,120	45,261	20,859	2,166,308	3	-	3	-	-
2017	성동구	8월	17	14	-	3	-	-	70	42,524	25,042	17,482	1,900,051	1	-	1	-	1
2017	성동구	9월	22	17	2	3	3	-	82	70,542	13,615	56,927	944,936	2	-	2	-	-
2017	성동구	10월	16	15	-	1	-	-	-	2,096	245	1,851	122,901	-	-	-	-	-
2017	성동구	11월	17	16	-	1	6	-	64.4	51,384	12,012	39,372	801,615	-	-	-	-	-
2017	성동구	12월	25	21	-	4	13	-	106	101,523	27,236	74,287	628,921	2	-	2	-	1
2017	광진구	계	200	188	3	9	22	-	656.77	433,742	230,322	203,420	18,534,827	7	1	6	-	29
2017	광진구	1월	16	11	2	3	4	-	15	23,339	9,641	13,698	1,207,145	1	-	1	-	1
2017	광진구	2월	10	9	1	-	3	-	123.29	51,536	24,467	27,069	443,570	-	-	-	-	-
2017	광진구	3월	9	9	-	-	-	-	-	3,456	1,339	2,117	361,135	-	-	-	-	-
2017	광진구	4월	23	22	-	1	5	-	30.2	21,484	15,096	6,388	6,636,520	2	1	1	-	1
2017	광진구	5월	15	15	-	-	2	-	2	3,183	1,398	1,785	812,353	-	-	-	-	1
2017	광진구	6월	16	16	-	-	1	-	59.4	31,248	20,086	11,162	337,051	-	-	-	-	-
2017	광진구	7월	18	18	-	-	1	-	77.88	92,351	37,903	54,448	1,398,555	1	-	1	-	20
2017	광진구	8월	10	9	-	1	-	-	79	34,473	20,830	13,643	2,059,207	2	-	2	-	1
2017	광진구	9월	29	28	-	1	1	-	90	57,852	41,591	16,261	1,635,433	-	-	-	-	3
2017	광진구	10월	24	22	-	2	1	-	103	70,255	33,780	36,475	1,469,817	1	-	1	-	2
2017	광진구	11월	19	18	-	1	3	-	22	13,863	5,030	8,833	1,871,051	-	-	-	-	-
2017	광진구	12월	11	11	-	-	1	-	55	30,702	19,161	11,541	302,990	-	-	-	-	-
2017	동대문구	계	200	170	5	25	11	-	1,567.44	1,122,454	475,285	647,169	36,773,885	3	1	2	-	53
2017	동대문구	1월	19	16	1	2	-	-	90	51,404	20,136	31,268	1,628,411	-	-	-	-	-
2017	동대문구	2월	15	15	-	-	2	-	46.04	33,658	16,918	16,740	40,835	-	-	-	-	6
2017	동대문구	3월	22	19	1	2	-	-	40	16,890	5,999	10,891	150,710	-	-	-	-	10
2017	동대문구	4월	20	17	-	3	-	-	207.4	135,256	29,353	105,903	2,064,824	-	-	-	-	14
2017	동대문구	5월	13	10	-	3	-	-	347	230,420	62,134	168,286	2,381,661	-	-	-	-	1
2017	동대문구	6월	18	16	-	2	-	-	3	7,499	933	6,566	1,837,490	1	-	1	-	-
2017	동대문구	7월	17	15	-	2	1	-	50	60,873	11,130	49,743	764,574	-	-	-	-	2
2017	동대문구	8월	13	10	-	3	-	-	5	6,119	2,359	3,760	819,532	-	-	-	-	4
2017	동대문구	9월	12	9	2	1	-	-	6	2,666	1,486	1,180	514,210	2	1	1	-	4
2017	동대문구	10월	22	17	1	4	-	-	41	60,685	8,571	52,114	15,168,454	-	-	-	-	6
2017	동대문구	11월	9	8	-	1	3	-	11	6,859	4,440	2,419	1,332,781	-	-	-	-	2
2017	동대문구	12월	20	18	-	2	5	-	721	510,125	311,826	198,299	10,070,403	-	-	-	-	4
2017	중랑구	계	196	167	2	27	18	1	849	332,366	171,049	161,317	8,533,459	7	2	5	4	15
2017	중랑구	1월	19	17	1	1	1	1	97	62,150	42,809	19,341	106,564	1	1	-	4	6
2017	중랑구	2월	13	11	-	2	4	-	242	54,407	34,639	19,768	744,293	-	-	-	-	1
2017	중랑구	3월	13	12	-	1	1	-	205	2,581	1,414	1,167	786	-	-	-	-	1
2017	중랑구	4월	24	20	-	4	4	-	26	58,307	7,872	50,435	147,043	1	-	1	-	1
2017	중랑구	5월	16	12	-	4	1	-	-	11,437	827	10,610	56,113	-	-	-	-	-
2017	중랑구	6월	15	12	-	3	1	-	31	24,965	14,177	10,788	974,917	-	-	-	-	1
2017	중랑구	7월	9	7	-	2	2	-	17	3,899	1,783	2,116	26,839	-	-	-	-	-
2017	중랑구	8월	14	13	-	1	-	-	-	2,530	276	2,254	53,370	-	-	-	-	2
2017	중랑구	9월	21	20	-	1	-	-	33	19,188	11,493	7,695	1,926,415	-	-	-	-	-
2017	중랑구	10월	13	8	1	4	2	-	7	13,454	3,741	9,713	827,218	1	-	1	-	-
2017	중랑구	11월	18	17	-	1	1	-	5	5,372	2,312	3,060	1,646,076	1	-	1	-	-
2017	중랑구	12월	21	18	-	3	1	-	186	74,076	49,706	24,370	2,023,825	3	1	2	-	3
2017	성북구	계	183	154	5	24	34	-	721.29	400,640	182,471	218,169	11,676,782	9	1	8	-	9
2017	성북구	1월	13	8	3	2	3	-	188	43,774	27,115	16,659	982,063	2	-	2	-	2
2017	성북구	2월	13	10	1	2	1	-	50	55,785	32,832	22,953	2,481,611	1	-	1	-	2
2017	성북구	3월	20	18	-	2	3	-	14	9,978	4,208	5,770	254,828	1	-	1	-	-
2017	성북구	4월	18	17	-	1	3	-	71	17,882	9,598	8,284	751,089	-	-	-	-	-
2017	성북구	5월	16	12	-	4	5	-	45	38,976	10,851	28,125	1,120,928	1	-	1	-	1
2017	성북구	6월	15	11	-	4	2	-	64	49,916	23,736	26,180	2,031,022	1	1	-	-	-
2017	성북구	7월	10	10	-	-	1	-	1	17,730	527	17,203	720,723	-	-	-	-	-
2017	성북구	8월	14	13	-	1	1	-	36	38,205	22,964	15,241	1,280,019	1	-	1	-	1
2017	성북구	9월	15	11	-	4	-	-	2	19,074	3,189	15,885	109,172	1	-	1	-	1
2017	성북구	10월	11	9	1	1	2	-	10.29	10,600	2,695	7,905	580,127	-	-	-	-	-
2017	성북구	11월	15	13	-	2	7	-	153	42,859	23,659	19,200	1,024,391	1	-	1	-	1
2017	성북구	12월	23	22	-	1	6	-	87	55,861	21,097	34,764	340,809	-	-	-	-	1
2017	강북구	계	186	173	4	9	75	-	651.97	339,146	134,341	204,805	11,134,148	6	-	6	-	8
2017	강북구	1월	14	13	1	-	7	-	28.25	26,769	3,676	23,093	558,523	-	-	-	-	-
2017	강북구	2월	14	13	-	1	9	-	338.45	147,356	54,183	93,173	327,171	-	-	-	-	2
2017	강북구	3월	11	10	1	-	6	-	8	7,223	2,769	4,454	123,611	-	-	-	-	-
2017	강북구	4월	9	8	-	1	3	-	3	5,985	2,242	3,743	157,273	1	-	1	-	-
2017	강북구	5월	15	15	-	-	9	-	88.15	25,178	12,564	12,614	435,390	1	-	1	-	2
2017	강북구	6월	14	13	-	1	2	-	5.41	4,710	524	4,186	191,369	1	-	1	-	-
2017	강북구	7월	17	15	-	2	7	-	11.6	9,524	3,339	6,185	806,208	-	-	-	-	-
2017	강북구	8월	10	9	-	1	2	-	52	17,482	10,317	7,165	91,024	-	-	-	-	-
2017	강북구	9월	24	23	-	1	7	-	12.36	4,063	1,344	2,719	598,990	-	-	-	-	3
2017	강북구	10월	17	16	1	-	5	-	51.75	57,838	27,813	30,025	5,538,528	1	-	1	-	1
2017	강북구	11월	18	17	-	1	7	-	21	14,824	4,409	10,415	1,724,092	1	-	1	-	-
2017	강북구	12월	23	21	1	1	11	-	32	18,194	11,161	7,033	581,969	1	-	1	-	-
2017	도봉구	계	192	176	8	8	12	2	2,267.1	288,836	76,077	212,759	8,438,906	8	2	6	3	5
2017	도봉구	1월	12	7	5	-	3	-	59.1	25,032	9,309	15,723	220,699	2	2	-	-	-
2017	도봉구	2월	10	8	1	1	2	-	43	30,849	13,567	17,282	901,499	1	-	1	-	-
2017	도봉구	3월	16	15	-	1	1	-	152	48,893	8,718	40,175	246,658	-	-	-	-	-
2017	도봉구	4월	16	14	-	2	1	1	130	31,986	6,658	25,328	1,423,149	2	-	2	1	-
2017	도봉구	5월	18	16	-	2	1	-	326	60,320	3,791	56,529	385,738	-	-	-	-	-
2017	도봉구	6월	15	14	-	1	1	1	1,465	12,498	3,628	8,870	1,699,669	2	-	2	2	2
2017	도봉구	7월	24	23	-	1	1	-	2	6,469	623	5,846	476,003	-	-	-	-	-
2017	도봉구	8월	20	19	1	-	-	-	46	40,328	18,395	21,933	2,550,278	1	-	1	-	2
2017	도봉구	9월	10	10	-	-	-	-	9	2,309	1,252	1,057	41,199	-	-	-	-	-
2017	도봉구	10월	22	22	-	-	1	-	20	19,606	4,824	14,782	312,251	-	-	-	-	-
2017	도봉구	11월	14	14	-	-	-	-	2	933	100	833	59,294	-	-	-	-	-
2017	도봉구	12월	15	14	1	-	1	-	13	9,613	5,212	4,401	122,469	-	-	-	-	1
2017	노원구	계	279	251	6	22	29	8	45,623.39	566,821	284,890	281,931	20,549,503	21	3	18	22	36
2017	노원구	1월	25	25	-	-	3	1	62	28,802	10,916	17,886	1,197,753	1	-	1	5	1
2017	노원구	2월	21	18	-	3	3	1	19	21,141	13,359	7,782	192,065	-	-	-	3	4
2017	노원구	3월	22	20	-	2	4	-	4,958	48,820	13,641	35,179	7,233,513	1	1	-	-	8
2017	노원구	4월	22	20	1	1	2	2	34.5	25,412	13,154	12,258	95,601	5	1	4	3	9
2017	노원구	5월	22	20	-	2	2	1	23	10,239	5,798	4,441	444,484	-	-	-	4	-
2017	노원구	6월	28	24	1	3	2	1	40,010	12,661	6,625	6,036	753,123	2	-	2	3	1
2017	노원구	7월	22	18	2	2	3	1	63.89	55,271	28,109	27,162	571,954	-	-	-	3	-
2017	노원구	8월	25	21	-	4	1	-	78	151,825	93,204	58,621	6,835,892	3	-	3	-	8
